rank,smiles,postera_code
154,C[NH2+]Cc1cc(-c2ccccc2F)n(Cc2ccccc2)c1,MAK-UNK-095-13
155,NC(=O)[C@@H]1CN(Cc2cccnc2)C[C@H]1c1ccccc1,DUN-NEW-d83-1
156,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cnccn1,MAK-UNK-9e4-14
157,O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)N1CCCCC1,DAR-DIA-033-11
158,C[NH2+]Cc1cc(-c2ccccc2F)n(C(C)c2ccccc2)c1,MAK-UNK-095-14
159,CC(=O)N1CCO[C@H](c2cc(CO[C@H](C)Nc3cccnc3Cl)c(F)cc2F)C1,BEN-VAN-77c-3
160,CC(=O)N1CCO[C@H](c2cc(F)c(F)c(CO[C@H](C)Nc3cccnc3Cl)c2)C1,BEN-VAN-77c-2
161,Nc1ncncc1CNC(=O)Nc1ccccc1OCCn1ccnc1,BAR-COM-4e0-5
162,CC(=O)N1CCN(Cc2cc(C#N)ccc2CNC(=O)N2CCOCC2)CC1,JAN-GHE-fd8-12
163,Cc1ccncc1NC(=O)Nc1cncc(C#N)c1Oc1ccccc1,CHR-SOS-363-7
164,Cc1c(Cl)cncc1-c1ccc(=O)n(CN2CCCC2=O)c1F,BEN-VAN-578-3
165,N#Cc1cncc(Nc2c(Nc3cccnc3)c(=O)c2=O)c1,JAN-UNI-2e9-1
166,CCNc1ncc(C#N)cc1NCCc1ccc2ncoc2c1,GAB-REV-df6-22
167,O=C1c2cc(F)c(Cl)cc2C(c2ccccc2)C(=O)N1c1cccnc1,MAK-UNK-9e4-3
168,CS(=O)(=O)NC(Cc1ccccc1)C(=N)N,MAK-UNK-274-12
169,O=C1c2cc(F)c(Cl)cc2[NH+](c2ccccc2)C(=O)[NH+]1c1cccnc1,MAK-UNK-9e4-26
170,O=C(Nc1c(Cc2cncnc2)nc2cnccn12)NC1CCCCC1,MAK-UNK-f24-4
171,CS(=O)(=O)NCCc1cccc(-c2nnc(CN3CCC=C(F)C3)s2)c1,MAK-UNK-814-11
172,NS(=O)(=O)c1ccc2c(c1)CCCCN2CC(=O)Nc1cccnc1,TAM-UNI-c14-14
173,O=C1CC(=O)CC([C@@H](NC(=O)c2cccs2)c2ccc(F)cc2)C1,DEM-REL-172-2
174,CC(=O)N1CCN(Cc2cccc(/C=C/S(N)(=O)=O)c2)CC1,JAN-GHE-1d9-8
175,CCNc1nnc(C#N)nc1Cc1ccc2c(c1)C(=O)NC2,MAK-UNK-516-24
176,O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e0-15
177,Cc1cnc2c(-c3cc(C)n[nH]3)c(-c3ccc(F)cc3)nn2c1,ÁLV-UNI-7ff-28
178,Cc1ccncc1NC(=O)NC1CCCCC1,ALE-HEI-f28-7
179,CS(=O)(=O)NCC(C(=O)Nc1cccnc1)c1ccccc1,PET-SGC-b0f-1
180,C=Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(C)c1cc(C)ccn1,AGN-NEW-051-1
181,O=C(NCC1CC1)N(C(=O)c1ccccc1)c1cccnc1,MIC-SGC-657-6
182,CCNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=O)CC2,MAK-UNK-516-27
183,C[NH2+]Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1CNc1ccc(C#N)cn1,MAK-UNK-148-12
184,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Br)c1,DAR-DIA-43a-2
185,CS(=O)(=O)Cc1c[nH]c2c(C(Nc3cccnc3)C(=O)Nc3ccncc3)cc(F)cc12,TAM-UNI-c14-21
186,CC(=O)N1CCN(Cc2cc(Cl)c3c(c2)CC(S(N)(=O)=O)CC3)CC1,HEI-REL-0c9-5
187,C=S(=C)(c1ccsc1)N1CCN2CC1Nc1cnccc1C2=O,MAK-UNK-bdd-7
188,NS(=O)(=O)c1ccc(Oc2cc(Cl)cc(C(=O)Nc3cccnc3)c2)cc1,CHR-SOS-709-19
189,CC(NC(=O)C(Cc1ccccc1)NC(=O)c1ccco1)c1ncco1,BAR-COM-4e0-7
190,C[NH2+]Cc1cc(-c2ccccc2F)n(Cc2ccccc2C)c1,MAK-UNK-095-26
191,NCCn1cc(C(=O)N2CC3(CCC3)c3cc(Br)ccc32)cn1,RAI-NOV-2f6-5
192,O=c1c2cc(Cl)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,MAK-UNK-9e4-10
193,CC1CC(O)CC(NC(=O)Nc2cncc(CCCC(N)=O)c2)C1,JAN-LUN-3e0-3
194,Cn1ccc2cccc(N(Cc3ccc(Cl)s3)c3cccc(S(N)(=O)=O)c3)c21,WAR-XCH-72a-8
195,CC(=O)NCCc1c[nH]c2c(N3CCCC3C(N)=O)cccc12,TAM-UNI-c14-16
196,O=C(c1ccc(Cn2cc(-c3cccc(Br)c3)c(=O)n(-c3cccnc3)c2=O)cc1)N1CCOCC1,NIM-UNI-534-2
197,O=C(Nc1cncnc1)N(c1cccc(Cl)c1)c1ccc(Cl)s1,SEA-TRI-04f-1
198,O=C(Nc1cccnc1)N(CCN1CCCOCC1)c1cccc(Cl)c1,JOR-UNI-2fc-9
199,O=C(Nc1cccnc1)N(CN1CCCCC1)c1cccc(Cl)c1,JOR-UNI-2fc-16
200,O=c1c2ccc(Br)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,RAI-NOV-c18-1
